time(s),bpm
26.50,58.91
26.56,58.31
26.62,58.80
26.69,58.20
26.75,58.74
26.83,58.12
26.90,58.63
26.96,58.04
27.02,58.52
27.09,57.94
27.15,58.49
27.23,57.91
27.30,58.42
27.36,57.85
27.42,58.37
27.49,57.78
27.55,58.18
27.63,57.52
27.70,58.05
27.76,57.44
27.82,57.91
27.89,57.35
27.97,57.89
28.03,57.23
28.10,57.75
28.16,57.13
28.22,57.66
28.29,57.08
28.37,57.59
28.43,56.98
28.50,57.47
28.56,56.91
28.62,57.43
28.70,56.89
28.77,57.40
28.83,56.82
28.90,71.59
28.96,56.74
29.02,71.59
29.10,70.49
29.17,71.00
29.23,70.31
29.30,71.03
29.36,70.31
29.42,71.00
29.50,70.33
29.57,70.96
29.63,70.30
29.70,71.04
29.76,84.46
29.84,71.14
29.90,84.57
29.97,71.21
30.03,84.62
30.10,85.49
30.16,84.68
30.24,85.56
30.30,84.75
30.37,85.70
30.43,84.92
30.50,85.86
30.56,85.07
30.64,86.06
30.70,85.20
30.77,85.95
30.83,85.15
30.90,71.65
30.98,85.17
31.04,71.77
31.10,71.10
31.17,71.87
31.23,71.22
31.30,71.99
31.38,71.30
31.44,72.07
31.50,71.34
31.57,72.10
31.63,71.43
31.70,72.15
31.78,71.49
31.84,72.18
31.90,71.50
31.97,72.22
32.03,71.49
32.11,72.18
32.18,71.52
32.24,72.47
32.30,71.75
32.37,72.54
32.43,71.88
32.51,72.73
32.58,72.04
32.64,72.79
32.70,72.08
32.77,72.81
32.85,72.09
32.91,72.95
32.98,72.26
33.04,72.99
33.10,72.29
33.17,73.02
33.25,72.35
33.31,58.51
33.38,72.45
33.44,58.59
33.50,58.03
33.57,58.62
33.65,58.04
33.71,58.65
33.78,58.10
33.84,58.68
33.90,58.10
33.98,58.63
34.05,58.05
34.11,58.65
34.18,58.08
34.24,58.91
34.30,58.35
34.38,59.02
34.45,58.44
34.51,59.08
34.58,58.49
34.64,59.19
34.70,58.61
34.78,59.29
34.85,58.70
34.91,59.34
34.98,58.75
35.04,59.42
35.12,58.82
35.18,59.42
35.25,58.86
35.31,59.41
35.38,58.85
35.44,59.47
35.52,58.89
35.58,148.81
35.65,147.41
35.71,149.83
35.78,148.36
35.84,150.27
35.92,148.74
35.98,135.15
36.05,133.82
36.11,135.19
36.18,133.88
36.26,135.30
36.32,133.86
36.38,135.17
36.45,133.72
36.51,135.11
36.58,148.64
36.66,135.18
36.72,133.87
36.78,135.23
36.85,133.85
36.91,135.17
36.99,133.92
37.06,135.08
37.12,133.79
37.18,135.08
37.25,133.75
37.31,135.22
37.39,133.91
37.46,135.43
37.52,134.11
37.58,75.23
37.65,74.48
37.71,75.22
37.79,74.48
37.86,120.25
37.92,119.08
37.98,120.24
38.05,119.05
38.13,120.28
38.19,119.09
38.26,120.27
38.32,119.04
38.38,120.09
38.45,118.90
38.53,120.14
38.59,118.83
38.66,120.13
38.72,118.96
38.78,120.17
38.85,118.96
38.93,120.29
38.99,118.77
39.06,119.55
39.12,118.26
39.18,119.51
39.26,118.29
39.33,119.48
39.39,118.31
39.46,104.64
39.52,118.42
39.58,104.63
