time(s),bpm
26.50,59.03
26.56,58.45
26.62,59.04
26.69,58.45
26.75,59.10
26.83,58.50
26.90,59.10
26.96,58.51
27.02,59.11
27.09,58.51
27.15,59.12
27.23,58.54
27.30,59.13
27.36,58.54
27.42,59.15
27.49,58.56
27.55,59.16
27.63,58.57
27.70,59.20
27.76,58.62
27.82,59.24
27.89,58.62
27.97,59.22
28.03,58.43
28.10,58.88
28.16,58.30
28.22,58.91
28.29,58.31
28.37,58.89
28.43,58.30
28.50,58.95
28.56,58.35
28.62,58.94
28.70,58.36
28.77,58.89
28.83,58.29
28.90,58.86
28.96,58.29
29.02,58.84
29.10,58.27
29.17,58.85
29.23,58.27
29.30,78.57
29.36,58.34
29.42,78.51
29.50,77.76
29.57,78.54
29.63,77.77
29.70,78.55
29.76,77.76
29.84,78.49
29.90,77.72
29.97,78.48
30.03,77.72
30.10,78.51
30.16,58.30
30.24,78.57
30.30,77.78
30.37,78.63
30.43,58.38
30.50,78.57
30.56,58.33
30.64,78.57
30.70,77.74
30.77,78.54
30.83,58.26
30.90,78.51
30.98,77.71
31.04,78.50
31.10,77.71
31.17,78.46
31.23,77.67
31.30,78.40
31.38,77.63
31.44,78.37
31.50,77.59
31.57,78.38
31.63,77.59
31.70,78.35
31.78,77.56
31.84,78.29
31.90,77.51
31.97,78.33
32.03,77.58
32.11,78.36
32.18,77.60
32.24,78.31
32.30,77.54
32.37,78.30
32.43,77.54
32.51,78.32
32.58,77.56
32.64,78.34
32.70,77.59
32.77,78.39
32.85,77.62
32.91,78.39
32.98,77.59
33.04,78.35
33.10,77.59
33.17,78.41
33.25,77.62
33.31,58.83
33.38,77.67
33.44,58.80
33.50,58.23
33.57,58.86
33.65,58.27
33.71,58.86
33.78,58.28
33.84,58.84
33.90,58.27
33.98,58.87
34.05,58.29
34.11,58.84
34.18,58.25
34.24,58.85
34.30,58.26
34.38,58.83
34.45,58.26
34.51,58.90
34.58,58.30
34.64,59.09
34.70,58.49
34.78,59.23
34.85,58.64
34.91,59.24
34.98,58.64
35.04,59.20
35.12,58.61
35.18,59.21
35.25,58.59
35.31,59.20
35.38,58.57
35.44,59.20
35.52,58.62
35.58,59.21
35.65,156.32
35.71,157.87
35.78,156.30
35.84,157.85
35.92,156.25
35.98,138.09
36.05,136.70
36.11,138.06
36.18,136.67
36.26,137.99
36.32,136.60
36.38,137.94
36.45,136.57
36.51,137.97
36.58,136.58
36.66,137.95
36.72,136.51
36.78,137.29
36.85,135.80
36.91,137.04
36.99,135.68
37.06,136.97
37.12,135.67
37.18,137.01
37.25,135.66
37.31,137.02
37.39,135.68
37.46,137.19
37.52,135.84
37.58,137.15
37.65,77.59
37.71,78.36
37.79,77.60
37.86,78.41
37.92,77.64
37.98,78.46
38.05,77.70
38.13,117.77
38.19,116.63
38.26,117.74
38.32,116.63
38.38,117.83
38.45,116.65
38.53,117.85
38.59,116.69
38.66,117.82
38.72,116.62
38.78,117.72
38.85,116.58
38.93,117.82
38.99,116.65
39.06,117.80
39.12,116.66
39.18,117.79
39.26,116.62
39.33,117.75
39.39,116.56
39.46,117.71
39.52,116.57
39.58,117.77
